Sector no,6,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Social Development,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,% Off-take of Grains v/s Allotment,Average Days of Employment Provided Per Household Under MGNREGA,"Performance in ""One Nation One Ration Card (ONOC)""",Performance of Maharashtra State Rural Livelihood Mission (MSRLM – UMED) Loan Provided SHG,NULM % of Livelihood Earning SHGs - % of 1st Bank Linkage Against SHG,NULM % of Livelihood Earning SHGs - % of 2nd Bank Linkage Against SHG,Coverage of Atal Pension Yojana,% Increase in Number of Enrolments per 1 lakh Population under - Pradhan Mantri Suraksha Bima Yojana (PMSBY) and Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Percentage Change of Beneficiaries under PM Kisan Scheme,Access to Housing for SC/ST(Rural),"Health Insurance: Increase in No. of Beneficiairies Against Insured (Yellow, White, Orange)",Percentage of Women in SHGs (Saturation),Percentage of Women SHG who Availed Bank Loan,Percentage of ICDS Beneficiaries of  Severely Underweight ,Percentage of ICDS Beneficiaries of  Moderately Underweight ,Percentage of Total Coverage of SC/ST/OBC Beneficiaries Received Pre-metric Scholarship Through Direct Benefit Transfer (DBT) Against Number of Students,Percentage of Total Coverage of SC/ST/OBC Beneficiaries Received Post Metric Scholarship Through DBT and Having Aadhar,Percentage Increase in Coverage of Workers Registered on e-SHRAM Portal,Percentage coverage of PM Street Vendor's Atma Nirbhar Nidhi (SVANidhi) Scheme ,Number of Beneficiaries of Schemes under National Social Assistance Program (NSAP),% of Beneficiaries Receiving Benefits under (a) Sanjay Gandhi Niradhar Anudan (b) Shravanbal Seva State Pension,Increase in Percentage of Off-take Against Allocation of Foodgrains to Fair Price Shops for Atyodaya Anna Yojana under NFSA,Percentage of Priority Sector Credit Plan to Total Credit Plan,Percentage of Women Aged 20-24 years Married Before Age 18 years,SD Score,Rank
Ahmednagar,2.089,0.638,0.217,2.408,1.388,1.235,1.072,1.173,0.487,4.999,0,2.387,4.015,2.334,2.239,0.012,2.276,2.95,1.045,1.219,1.535,5,4.375,1.134,46.227,7
Akola,2.657,0.957,1.016,1.819,0.943,0.734,1.497,1.579,0.706,3.325,0,0,4.772,2.442,2.419,0.429,1.343,0.486,0.957,1.456,1.626,1.648,4.23,1.855,38.897,26
Amravati,4.532,7.5,0.677,0.793,1.067,0.659,0.952,0.91,0.727,3.237,0,2.233,4.547,1.773,1.54,0.337,1.934,0.329,1.093,1.642,1.926,4.25,4.343,2.054,49.054,3
Chhatrapati Sambhaji Nagar,3.788,2.872,0.558,0.94,1.158,0.97,0.668,2.075,0.772,3.12,0,2.279,1.035,2.133,2.077,0.731,1.827,1.94,1.858,1.383,1.534,2.069,2.66,0.656,39.104,25
Beed,2.688,3.511,0.247,4.832,1.239,1.079,0.295,3.662,0.784,2.198,0,2.008,3.786,2.355,2.295,1.496,2.261,1.433,0.372,1.74,1.585,3.051,4.139,0.231,47.285,6
Bhandara,4.224,1.117,0.021,1.183,1.446,0.637,5,2.502,1.624,4.999,0,1.989,0,2.22,2.188,0.2,2.242,0.317,1.359,2.5,1.282,1.162,4.318,2.5,45.029,11
Buldhana,3.107,0.319,0.428,2.403,1.184,1.027,1.604,1.119,0.524,2.236,0,2.162,5,2.394,2.149,0.01,2.416,0.791,1.038,1.272,1.926,3.321,4.692,1.285,42.407,20
Chandrapur,4.482,2.234,0.362,0.472,1.216,0.913,1.562,1.849,2.045,4.76,0,2.092,4.838,1.92,1.53,0.014,1.798,0,0.486,1.415,1.525,2.648,4.527,2.097,44.786,12
Dhule,1.165,0.638,0.554,2.73,1.031,0.816,0.396,0.893,0.061,3.504,0,2.523,2.911,1.879,2.01,0.658,1.723,1.788,0.908,0.708,0.618,2.544,4.327,0.403,34.788,33
Gadchiroli,3.685,1.915,0.01,2.279,1.254,0.484,0.992,1.368,0.724,4.419,0,2.298,1.217,1.028,0.858,0.171,0.531,0.49,0.054,1.451,1.275,1.43,3.573,2.038,33.542,34
Gondia,5,1.915,0.043,1.381,1.707,0.304,2.408,3.036,1.678,4.523,0,2.184,4.711,1.992,1.953,0.853,1.944,0.172,0.051,1.804,1.792,1.515,4.222,2.231,47.417,5
Hingoli,2.202,2.394,0.263,3.736,1.386,1.554,1.428,2.226,0,1.635,0,1.839,2.926,2.285,1.94,0.116,0.127,0.562,0.931,1.342,1.444,2.674,4.317,0.586,37.91,30
Jalgaon,3.408,2.074,0.686,1.223,1.515,1.243,0.507,1.342,0.976,4.333,0,2.551,4.048,2.032,1.737,0.21,1.768,0.416,0.315,1.124,1.642,4.302,4.311,1.075,42.837,19
Jalna,2.792,1.915,0.486,1.124,1.488,1.825,1.609,1.059,0.786,2.512,0,2.131,3.888,2.398,2.385,2.402,2.359,0.951,2.5,0.906,1.402,2.381,4.653,0.699,44.651,15
Kolhapur,2.812,0,0,1.398,1.694,1.589,0.85,1.7,0.742,5,0,2.278,3.627,2.464,2.5,0.015,2.473,1.599,1.302,1.368,1.105,1.675,2.805,1.452,40.45,23
Latur,3.894,3.351,0.629,2.013,1.605,1.578,0.613,1.217,0.024,2.361,0,2.156,3.881,2.414,2.44,0.641,2.166,1.756,0.377,1.341,1.791,2.356,4.5,0.914,44.019,16
Mumbai,0,,8.816,,0,0,1.387,4.088,,,0,3.118,3.458,3.661,3.02,0.008,1.651,0.179,0.298,,0,0,0,3.57,33.252,35
Mumbai Suburban,0.047,,6.752,,,,0.394,0,,,0,,,,,3.796,5.396,0.334,,0,3.955,0,1.231,4.872,26.778,36
Nagpur,4.106,2.553,2.291,0.828,1.338,0.801,1.849,2.176,2.054,4.588,0,2.207,3.71,2.351,1.968,0.138,2.195,0.547,1.173,1.423,0.982,1.575,2.202,2.199,45.254,10
Nanded,3.035,2.394,0.354,1.485,1.307,1.175,0.797,2.536,1.148,2.713,0,2.243,3.489,2.468,2.462,0,2.177,1.691,0.706,1.13,1.383,4.372,3.398,0.849,43.312,18
Nandurbar,3.632,0.957,0.181,4.256,1.373,1.05,0,1.122,0.993,3.957,0,2.88,3.457,0,0,0.422,0,1.605,1.048,1.453,1.935,1.682,4.796,1.29,38.089,27
Nashik,3.102,1.117,0.995,3.671,1.2,0.932,0.717,1.227,0.662,4.776,0,2.248,4.488,1.947,1.905,0.657,1.427,3.206,1.52,1.411,1.267,2.137,3.179,0.989,44.781,13
Dharashiv,3.002,2.713,0.342,1.338,1.65,1.563,0.683,2.237,0.503,3.016,0,2.15,3.105,2.205,2.052,1.207,2.252,1.913,0,1.484,1.147,1.635,4.275,0.613,41.085,22
Palghar,2.521,5.754,2.076,5.455,1.1,0.604,,,1.43,2.78,0,3.02,4.782,1.744,0.719,1.275,0.914,0.168,0.7,1.698,2.955,1.861,2.359,2.122,46.038,8
Parbhani,2.872,3.191,0.509,2.09,1.31,1.163,0.984,1.692,0.057,1.581,0,2.352,1.155,2.214,2.304,1.211,2.445,0.623,1.073,1.571,1.461,0.938,4.834,0,37.633,31
Pune,1.846,0.798,1.441,1.78,1.122,0.713,1.232,5,1.859,3.862,0,2.459,2.512,2.46,2.302,1.828,2.015,1.931,0.219,1.314,1.333,1.279,1.561,1.29,42.156,21
Raigad,1.741,0.798,0.316,3.866,1.792,1.966,1.855,1.027,3.118,3.567,0,2.311,3.298,2.464,2.312,2.5,1.964,1.568,0.848,1.798,1.334,2.375,3.041,1.72,47.58,4
Ratnagiri,1.395,0.638,0.289,1.45,2.322,1.903,2.468,2.038,4.809,4.316,0,1.965,4.052,2.242,1.896,1.886,2.416,0.742,0.982,1.089,1.282,2.199,4.647,2.344,49.369,2
Sangli,2.528,1.596,0.313,2.169,1.394,1.298,0.147,0.354,1.074,4.587,0,2.066,3.243,2.5,2.412,2.349,2.312,5,0.822,1.144,1.51,1.683,3.671,1.129,45.301,9
Satara,1.509,0.957,0.262,1.478,1.339,0.835,0.827,0.574,0.555,4.955,0,2.214,3.319,2.418,2.424,0.226,2.5,2.342,0.905,0.959,1.33,0.038,4.387,1.608,37.961,29
Sindhudurg,2.481,0,0.43,1.059,2.5,2.5,2.971,2.148,5,3.475,0,2.37,4.677,1.893,1.635,1.043,2.468,0.38,1.713,0.796,0.942,2.38,4.801,2.312,49.973,1
Solapur,0.062,0.798,0.307,1.006,1.171,1.103,1.392,1.74,1.18,2.599,0,2.37,2.141,2.48,2.415,0.229,2.304,1.707,0.859,1.211,0.963,3.854,5,0.414,37.305,32
Thane,0.742,0.985,3.81,0.991,1.424,1.243,,0.431,2.909,1.782,0,5.217,4.518,2.442,2.087,0.25,1.858,0.138,0.635,1.072,1.81,2.761,1.349,1.73,40.183,24
Wardha,4.828,2.553,1.435,0,1.593,1.642,2.151,2.531,0.879,3.48,0,2.07,3.988,1.914,1.748,0.022,1.938,0.862,0.395,1.361,1.505,1.72,4.035,2.097,44.745,14
Washim,3.813,0.798,0.366,2.064,1.5,1.177,1.254,0.746,0.169,2.755,0,2.381,4.437,2.271,2.219,0.019,2.327,0.932,1.857,1.001,0.789,4.903,4.787,1.091,43.657,17
Yavatmal,2.836,1.436,0.421,1.222,1.484,0.986,0.92,0.733,0.489,2.984,0,3.964,3.043,2.072,1.983,0.084,1.62,0.138,1.271,1.071,1.261,1.636,4.477,1.952,38.082,28
